source,target,weight
ULA/AA: United League of Arakan/Arakan Army,SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,2
People's Defense Force - Shwebo District,People's Defense Force - Myingyan District,2
KNU/KNLA: Karen National Union/Karen National Liberation Army,People's Security Force,1
Pyu Saw Htee,PNO/PNA: Pa-Oh National Organization/Pa-Oh National Army,1
Police Forces of Myanmar (2021-),PNO/PNA: Pa-Oh National Organization/Pa-Oh National Army,1
KIO/KIA: Kachin Independence Organization/Kachin Independence Army,CNO/CNDF: Chin National Organization/Chin National Defense Force,1
KIO/KIA: Kachin Independence Organization/Kachin Independence Army,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,1
People's Defense Force - Myaing,People's Defense Force - Myingyan District,1
PDF: People's Defense Force,People's Defense Force - Launglon,1
PDF: People's Defense Force,People's Defense Force - Demoso,1
Government of Myanmar (2021-) State Administration Council,Military Forces of Myanmar (2021-) Border Guard Force,1
KNU/KNLA: Karen National Union/Karen National Liberation Army,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,1
PDF: People's Defense Force,People's Defense Force - Myingyan District,1
PDF: People's Defense Force,People's Defense Force - Loikaw,1
PDF: People's Defense Force,People's Defense Force - Mandalay,1
PDF: People's Defense Force,Chinland Defense Force - Thantlang,1
People's Defense Force - Myaing,People's Defense Force - Monywa District,1
ABSDF: All Burma Students' Democratic Front,People's Defense Force - Myingyan District,1
ABSDF: All Burma Students' Democratic Front,People's Security Force,1
ABSDF: All Burma Students' Democratic Front,KNDO: Karen National Defence Organization,1
People's Defense Force - Mandalay,People's Defense Force - Sagaing District,1
People's Defense Force - Mandalay,People's Defense Force - Shwebo District,1
People's Defense Force - Shwebo District,People's Defense Force - Yinmarbin District,1
People's Defense Force - Shwebo District,Kani People's Defense Force - KLG,1
People's Defense Force - Myingyan District,People's Defense Force - Yinmarbin District,1
KNDO: Karen National Defence Organization,People's Defense Force - Launglon,1
People's Defense Force - Myingyan District,People's Defense Force - Yesagyo,1
People's Defense Force - Pakokku District,People's Security Force,1
People's Defense Force - Kalay,Chinland Defense Force - Thantlang,1
People's Defense Force - Yesagyo,People's Defense Force - Yinmarbin District,1
People's Security Force,Kani People's Defense Force - KLG,1
People's Defense Force - Yinmarbin District,People's Defense Force - Sagaing District,1
