source,target,weight
KNU/KNLA: Karen National Union/Karen National Liberation Army,Government of Myanmar (2021-) State Administration Council,4
MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,Government of Myanmar (2021-) State Administration Council,3
KNU/KNLA: Karen National Union/Karen National Liberation Army,Military Forces of Myanmar (2021-) People's Militia Force,3
Military Forces of Myanmar (2021-) People's Militia Force,People's Security Force,3
Pyu Saw Htee,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,3
ULA/AA: United League of Arakan/Arakan Army,Military Forces of Myanmar (2021-) Border Guard Force,3
SNA: Shanni Nationalities Army,ABSDF: All Burma Students' Democratic Front,3
ULA/AA: United League of Arakan/Arakan Army,CNF/CNA: Chin National Front/Chin National Army,3
People's Defense Force - Myaing,Military Forces of Myanmar (2021-) People's Militia Force,3
KNPP/KA: Karenni National Progressive Party/Karenni Army,Military Forces of Myanmar (2021-) Border Guard Force,2
KNDF: Karenni Nationalities Defense Force,Military Forces of Myanmar (2021-) Border Guard Force,2
Pyu Saw Htee,Chinland Defense Force - Hakha,2
Government of Myanmar (2021-) State Administration Council,People's Defense Force - Yesagyo,2
Government of Myanmar (2021-) State Administration Council,People's Defense Force - Myeik District,2
Government of Myanmar (2021-) State Administration Council,People's Defense Force - Launglon,2
NLD: National League for Democracy,Military Forces of Myanmar (2021-) Border Guard Force,2
Police Forces of Myanmar (2021-),SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,1
Pyu Saw Htee,ULA/AA: United League of Arakan/Arakan Army,1
Pyu Saw Htee,Chinland Defense Force - Thantlang,1
Pyu Saw Htee,Chinland Defense Force - Mindat,1
Pyu Saw Htee,CNF/CNA: Chin National Front/Chin National Army,1
Government of Myanmar (2021-) State Administration Council,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,1
PDF: People's Defense Force,Police Forces of Myanmar (2021-) Border Guard Police,1
KNU/KNLA: Karen National Union/Karen National Liberation Army,Police Forces of Myanmar (2021-) Border Guard Police,1
Government of Myanmar (2021-) State Administration Council,People's Defense Force - Yinmarbin District,1
Government of Myanmar (2021-) State Administration Council,Chinland Defense Force - Hakha,1
KNDF: Karenni Nationalities Defense Force,Military Forces of Myanmar (2021-) People's Militia Force,1
PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,Government of Myanmar (2021-) State Administration Council,1
KIO/KIA: Kachin Independence Organization/Kachin Independence Army,Government of Myanmar (2021-) State Administration Council,1
ULA/AA: United League of Arakan/Arakan Army,Chinland Defense Force - Mindat,1
Government of Myanmar (2021-) State Administration Council,People's Defense Force - Myingyan District,1
